# GENERATED: python3 -m homm3.carve naming - one name per carved function (total coverage).
# generator: homm3.carve.naming
# exe: HEROES3.EXE sha256=057c9d88e7206f6669a4615de2c6e02ab6c4e2d570a9e2badf07fe0bd6247274 size=2732032
# date: 2026-08-04
# ANALYSIS OUTPUT, NOT RETAIL EVIDENCE
# tier/confidence say what the name IS: retail-proven asserts the original symbol;
# external-candidate is NH3API-derived (unverified); structural names are working labels.
rva,size,name,tier,confidence,library,symbol,evidence
0x1000,89,cinit0000_1000,init-ctor,structural,game,,.CRT$XCU slot 0
0x1060,96,cinit0001_1060,init-ctor,structural,game,,.CRT$XCU slot 1
0x10c0,97,cinit0002_10c0,init-ctor,structural,game,,.CRT$XCU slot 2
0x1130,95,cinit0003_1130,init-ctor,structural,game,,.CRT$XCU slot 3
0x1190,95,cinit0004_1190,init-ctor,structural,game,,.CRT$XCU slot 4
0x11f0,95,cinit0005_11f0,init-ctor,structural,game,,.CRT$XCU slot 5
0x1250,95,cinit0006_1250,init-ctor,structural,game,,.CRT$XCU slot 6
0x12b0,95,cinit0007_12b0,init-ctor,structural,game,,.CRT$XCU slot 7
0x1310,95,cinit0008_1310,init-ctor,structural,game,,.CRT$XCU slot 8
0x1370,95,cinit0009_1370,init-ctor,structural,game,,.CRT$XCU slot 9
0x13d0,40,game_8a310_sub00_13d0,caller,structural,game,,called from 0x8a310
0x1400,167,TAdventureMapWindow_vslot01,vtable-slot,external-candidate,game,,vtable 0x23a5e4 slot 1
0x14a7,6,game_14a7,band,structural,game,,band game
0x14b0,21,game_1400_sub00_14b0,caller,structural,game,,called from 0x1400
0x14d0,60,TAdventureMapWindow_vslot02,vtable-slot,external-candidate,game,,vtable 0x23a5e4 slot 2
0x1510,3253,TAdventureMapWindow_TAdventureMapWindow,nh3api,external-candidate,game,,core/interface/dialogs.hpp:122
0x21d0,5,border_vslot05,vtable-slot,external-candidate,game,,vtable 0x23ba24 slot 5
0x21e0,5,border_vslot06,vtable-slot,external-candidate,game,,vtable 0x23ba24 slot 6
0x21f0,66,TSubWindow_vslot15,vtable-slot,external-candidate,game,,vtable 0x242350 slot 15
0x2240,60,TSubWindow_vslot21,vtable-slot,external-candidate,game,,vtable 0x242350 slot 21
0x2280,35,TSubWindow_vslot25,vtable-slot,external-candidate,game,,vtable 0x242350 slot 25
0x22b0,43,TSubWindow_vslot26,vtable-slot,external-candidate,game,,vtable 0x242350 slot 26
0x22e0,359,game_gosolo_22e0,string,structural,game,,literal: gosolo
0x2450,1491,game_ajpgevavgl_2450,string,structural,game,,literal: ajpgevavgl
0x2a30,161,game_2450_sub00_2a30,caller,structural,game,,called from 0x2450
0x2ae0,33,TAdventureMapWindow_vslot00,vtable-slot,external-candidate,game,,vtable 0x23a5e4 slot 0
0x2b10,119,TAdventureMapWindow_TAdventureMapWindow_2b10,nh3api,external-candidate,game,,core/interface/dialogs.hpp:129
0x2b90,36,TAdventureMapWindow_animate_bottom_view,nh3api,external-candidate,game,,core/interface/dialogs.hpp:138
0x2bc0,78,TAdventureMapWindow_draw_bottom_view,nh3api,external-candidate,game,,core/interface/dialogs.hpp:141
0x2c10,60,TAdventureMapWindow_set_bottom_view,nh3api,external-candidate,game,,core/interface/dialogs.hpp:144
0x2c50,536,TAdventureMapWindow_convertID2HelpID,nh3api,external-candidate,game,,core/interface/dialogs.hpp:147
0x2e70,405,TAdventureMapWindow_ProcessRightSelect,nh3api,external-candidate,game,,core/interface/dialogs.hpp:150
0x3010,522,TAdventureMapWindow_ProcessHover,nh3api,external-candidate,game,,core/interface/dialogs.hpp:153
0x3220,89,TAdventureMapWindow_DoHeroKnob,nh3api,external-candidate,game,,core/interface/dialogs.hpp:156
0x3280,89,TAdventureMapWindow_DoTownKnob,nh3api,external-candidate,game,,core/interface/dialogs.hpp:159
0x32e0,308,TAdventureMapWindow_UpdateHeroLocators,nh3api,external-candidate,game,,core/interface/dialogs.hpp:162
0x3420,305,TAdventureMapWindow_UpdateTownLocators,nh3api,external-candidate,game,,core/interface/dialogs.hpp:165
